"","date","meeting_date","dtarget","surprise"
"1",1999-03-05,1999-03-04,NA,0.82
"2",1999-03-25,NA,-3,-1.195
"3",1999-04-06,NA,-2.5,-0.308
"4",1999-04-15,1999-04-14,-5.5,0.0529999999999973
"5",1999-04-29,NA,-2,-0.444999999999997
"6",1999-05-10,NA,-2.5,-1.19
"7",1999-05-13,NA,-2.5,-2.614
"8",1999-05-20,1999-05-19,-3.5,-0.487000000000002
"9",1999-06-09,NA,-1.5,-0.984999999999999
"10",1999-06-24,1999-06-23,-1,0.855
"11",1999-07-29,1999-07-28,-1.5,-1.06
"12",1999-09-02,1999-09-01,0,0.437000000000001
"13",1999-09-23,1999-09-22,-0.5,-0.211000000000002
"14",1999-10-07,1999-10-06,0,-0.137
"15",1999-11-11,1999-11-10,0,0.27
"16",1999-12-16,1999-12-15,0,-0.0799999999999983
"17",2000-01-20,2000-01-19,0,0.0809999999999995
"18",2000-02-17,2000-02-16,0,0.0899999999999999
"19",2000-03-23,2000-03-22,0,0.0999999999999979
"20",2000-03-29,NA,-0.5,-0.978000000000002
"21",2000-04-20,2000-04-19,0,-0.0279999999999987
"22",2000-05-25,2000-05-24,0,0.0230000000000032
"23",2000-06-21,2000-06-20,-1,-0.930999999999997
"24",2000-07-10,NA,-0.5,-0.239999999999998
"25",2000-07-20,2000-07-19,-0.5,-0.251999999999999
"26",2000-08-24,2000-08-23,0,0.169999999999998
"27",2000-09-21,2000-09-20,0,0.0519999999999996
"28",2000-10-19,2000-10-18,0,0.0350000000000001
"29",2000-11-23,2000-11-22,0,0.0489999999999995
"30",2000-12-21,2000-12-20,-0.75,-0.249999999999998
"31",2001-01-18,2001-01-17,-0.5,0
"32",2001-02-15,2001-02-14,0,0.116999999999999
"33",2001-03-22,2001-03-21,0.5,0.103999999999999
"34",2001-04-19,2001-04-18,0.5,-0.249000000000002
"35",2001-05-24,2001-05-23,0.5,-0.387
"36",2001-06-21,2001-06-20,1.5,0.390999999999998
"37",2001-07-19,2001-07-18,0,-0.708000000000002
"38",2001-08-23,2001-08-22,0,-0.0569999999999986
"39",2001-09-20,2001-09-19,0,-0.176000000000002
"40",2001-10-18,2001-10-17,0,-0.0690000000000026
"41",2001-11-22,2001-11-21,0,0.148
"42",2001-12-20,2001-12-19,0,0.0680000000000014
"43",2002-01-24,2002-01-23,0,0.0599999999999987
"44",2002-02-21,2002-02-20,-0.25,0.0800000000000018
"45",2002-03-21,2002-03-20,-0.25,0.212
"46",2002-04-18,2002-04-17,0,0.169999999999998
"47",2002-05-23,2002-05-22,0,0.0999999999999979
"48",2002-06-20,2002-06-19,0,0.0199999999999996
"49",2002-07-18,2002-07-17,-0.5,-0.300000000000001
"50",2002-08-22,2002-08-21,0,-0.140000000000001
"51",2002-09-19,2002-09-18,0,0.0100000000000016
"52",2002-10-15,2002-10-14,3,4.03
"53",2002-10-24,2002-10-23,0,-0.699999999999999
"54",2002-11-21,2002-11-20,1,-0.360000000000003
"55",2002-12-19,2002-12-18,3,0.75
"56",2003-01-23,2003-01-22,0.5,-0.0299999999999976
"57",2003-02-20,2003-02-19,1,0.0500000000000007
"58",2003-03-20,2003-03-19,0,0.149999999999999
"59",2003-04-24,2003-04-23,0,0.0500000000000007
"60",2003-05-22,2003-05-21,0,0.100000000000001
"61",2003-06-19,2003-06-18,-0.5,-0.140000000000001
"62",2003-07-24,2003-07-23,-1.5,0.16
"63",2003-08-21,2003-08-20,-2.5,-0.82
"64",2003-09-18,2003-09-17,-2,-0.356999999999999
"65",2003-10-23,2003-10-22,-1,0
"66",2003-11-20,2003-11-19,-1.5,-0.66
"67",2003-12-18,2003-12-17,-1,-0.0209999999999972
"68",2004-01-22,2004-01-21,0,0.360000000000001
"69",2004-02-19,2004-02-18,0,0.0499999999999972
"70",2004-03-18,2004-03-17,-0.25,-0.0949999999999989
"71",2004-04-15,2004-04-14,-0.25,-0.0600000000000005
"72",2004-05-20,2004-05-19,0,0.0999999999999996
"73",2004-06-17,2004-06-16,0,-0.0199999999999996
"74",2004-07-22,2004-07-21,0,-0.0299999999999994
"75",2004-08-19,2004-08-18,0,0
"76",2004-09-16,2004-09-15,0.25,0.0100000000000016
"77",2004-10-21,2004-10-20,0.5,0.18
"78",2004-11-18,2004-11-17,0.5,0
"79",2004-12-16,2004-12-15,0.5,0.0499999999999972
